القسم,البند,النوع_أو_المنصة,القيمة,ماذا_يظهر_للمستخدم,الملف
أنواع الحسابات,مالك فرد / معلن,ownerIndividual,مجاني بلا باقات,تبويب الطلب الفوري + وسائل الدفع + السجل,lib/screens/subscriptions/subscriptions_root_screen.dart
أنواع الحسابات,مستخدم عام,publicUser,مجاني بلا باقات,نفس تبويبات المالك,lib/screens/subscriptions/subscriptions_root_screen.dart
أنواع الحسابات,مسوّق فرد,marketer,باقات 1 و4 و11-13 و21-23,الباقات + الدفع + السجل + الفريق + الاستخدام,lib/services/subscription_service.dart
أنواع الحسابات,مكتب عقاري,realEstateOffice,باقات 2 و4 و11-13 و21-23,تبويبات المسوّق + ترقية + تجديد فال,lib/services/subscription_service.dart
أنواع الحسابات,مؤسسة عقارية,realEstateInstitution,باقات 2 و4 و11-13 و21-23,مثل المكتب,lib/services/subscription_service.dart
أنواع الحسابات,وكالة,agency,باقات 2 و4 و11-13 و21-23,مثل المكتب,lib/services/subscription_service.dart
أنواع الحسابات,شركة عقارية,realEstateCompany,باقات 3 و4 و11-13,بدون توب-أب طلبات 21-23 + ترقية + فال,lib/services/subscription_service.dart
البابات,الأساسية,sort_order=1,مسوّق فرد — رئيسية,نشر إعلانات وطلبات ضمن حد الباقة,lib/core/subscription/plan_display_copy.dart
البابات,الاحترافية,sort_order=2,مكتب/مؤسسة/وكالة — رئيسية,إدارة إعلانات وطلبات وصفقات للفريق,lib/core/subscription/plan_display_copy.dart
البابات,المميّزة,sort_order=3,شركة — رئيسية,حدود أعلى للمنشأة,lib/core/subscription/plan_display_copy.dart
البابات,الشامل,sort_order=4,كل أدوار التسويق — ترقية,حصة إتمام صفقة أعلى من الأساسية,lib/core/subscription/plan_display_copy.dart
البابات,توب-أب عروض السوق,sort_order=11/12/13,رصيد لمرة واحدة,إتمام صفقات على طلبات الرئيسية — بلا تجديد تلقائي,lib/services/subscription_service.dart
البابات,توب-أب طلبات عقارية,sort_order=21/22/23,رصيد لمرة واحدة,نشر طلبات إضافية من الرئيسية,lib/services/subscription_service.dart
البابات,تجريبية,is_trial_plan,مرة واحدة لكل مستخدم,لا تُدرج في قائمة الباقات — بانر منفصل,lib/screens/subscriptions/subscription_plans_screen.dart
المالك,طلب فوري,30 ر.س,أسبوع أولوية في المنطقة و72 ساعة خارجها,يظهر في تبويب الطلب الفوري فقط,lib/screens/subscriptions/owner_instant_payments_hub_screen.dart
